,0
AS1_MARRYA,0.008745777
AS1_SEX,0.0104289735
AS1_PHYACTH,0.010605783
AS1_DRINK,0.011292633
AS1_SLPAMSF,0.011363122
AS1_AGE,0.012153608
AS1_PHYACTM,0.012214234
AS1_HEALTH,0.012946625
AS1_JOBB,0.01355804
AS1_HVSMAM,0.014013646
AS1_PHYACTL,0.014236464
AS1_TOTALC,0.014403501
AS1_EDUA,0.015053899
AS1_SMOKEA,0.01509139
AS1_TIED,0.015823364
AS1_RGMEALFQA,0.018352903
NEAP,0.01871261
KHEI90,0.018964954
AMED,0.018982394
AS1_INCOME,0.019987214
HAS_HYPERTENSION,0.022039684
AMED_NONALC,0.022719502
DII,0.023102274
DASH,0.024721961
PRAL,0.032855716
HAS_DIABETES,0.034170523
WAIST_AVG,0.041910853
HAS_HYPERLIPIDEMI,0.049465206
RC,0.051627293
HOMA_IR,0.054901086
BMI,0.061625805
AI,0.29392898
