,0
BMI,0.011475793
AS1_PHYACTL,0.013270342
DASH,0.013766856
KHEI90,0.015133243
DII,0.01616829
AS1_EDUA,0.016360624
HOMA_IR,0.01694284
PRAL,0.019501437
AS1_TOTALC,0.019988371
AS1_SEX,0.021279838
AS1_JOBB,0.022370633
AI,0.023975221
AS1_HVSMAM,0.02406253
AS1_TIED,0.027841082
AS1_SLPAMSF,0.029012715
HAS_HYPERLIPIDEMI,0.030320324
AS1_DRINK,0.030955097
AS1_INCOME,0.035475727
AS1_AGE,0.037432928
AS1_SMOKEA,0.042759795
AS1_PHYACTM,0.052783147
AS1_HEALTH,0.055730253
AS1_PHYACTH,0.060225554
HAS_DIABETES,0.1230669
HAS_HYPERTENSION,0.24010047
