,0
NEAP,0.009689217
DASH,0.00999326
AS1_PHYACTL,0.011144559
AMED_NONALC,0.01134918
RC,0.011445589
WAIST_AVG,0.012135696
HOMA_IR,0.012692302
AI,0.013255615
AMED,0.013475447
PRAL,0.0139432065
AS1_RGMEALFQA,0.014771093
AS1_EDUA,0.014908928
DII,0.015247303
AS1_TOTALC,0.015950574
BMI,0.016772233
AS1_JOBB,0.017359162
AS1_SEX,0.017600931
KHEI90,0.018029151
AS1_SLPAMSF,0.021211794
AS1_TIED,0.02215112
AS1_INCOME,0.022579452
AS1_DRINK,0.025195455
HAS_HYPERLIPIDEMI,0.025681717
AS1_HVSMAM,0.027586263
AS1_AGE,0.037742883
AS1_SMOKEA,0.050026618
AS1_HEALTH,0.05546472
HAS_DIABETES,0.05870205
AS1_PHYACTH,0.06630547
AS1_PHYACTM,0.071510896
HAS_HYPERTENSION,0.26607814
