,0
RC,0.014438873
DII,0.014558673
KHEI90,0.014629914
DASH,0.014829256
PRAL,0.01639798
AS1_PHYACTL,0.01646001
BMI,0.016712604
AI,0.017033678
HOMA_IR,0.01806283
AS1_EDUA,0.019478748
AS1_SEX,0.020914596
AS1_SLPAMSF,0.021173581
AS1_TOTALC,0.0211879
AS1_HVSMAM,0.02205184
AS1_DRINK,0.023439743
AS1_JOBB,0.02405137
HAS_HYPERLIPIDEMI,0.024114259
AS1_INCOME,0.027184723
AS1_TIED,0.028391367
AS1_AGE,0.040453516
AS1_SMOKEA,0.04881344
HAS_DIABETES,0.048918348
AS1_PHYACTM,0.05055745
AS1_HEALTH,0.060015786
AS1_PHYACTH,0.06759549
HAS_HYPERTENSION,0.30853406
