,0
AS1_EDUA,0.039509952
HAS_HYPERLIPIDEMI,0.05524663
AS1_PHYACTH,0.056069672
AS1_HVSMAM,0.058528956
AS1_AGE,0.06111861
AS1_PHYACTM,0.08245031
AS1_HEALTH,0.091089405
HAS_DIABETES,0.10005149
AS1_SMOKEA,0.13680449
HAS_HYPERTENSION,0.3191305
