,0
WAIST_AVG,0.009694077
AS1_RGMEALFQA,0.009738456
DASH,0.010351219
AS1_PHYACTL,0.01065953
RC,0.0110344235
AMED_NONALC,0.01213005
PRAL,0.012283719
AS1_TOTALC,0.013599186
DII,0.013632557
AS1_EDUA,0.014084756
KHEI90,0.014508892
HOMA_IR,0.015855964
AS1_SLPAMSF,0.015915336
AS1_JOBB,0.017256068
AI,0.017336478
AS1_INCOME,0.019195702
BMI,0.019615738
AS1_HVSMAM,0.022011414
AS1_SEX,0.026943162
HAS_HYPERLIPIDEMI,0.027571056
AS1_TIED,0.030216597
AS1_SMOKEA,0.034717564
AS1_DRINK,0.03614369
AS1_AGE,0.038879797
AS1_PHYACTM,0.048891377
AS1_HEALTH,0.058865596
AS1_PHYACTH,0.074230954
HAS_DIABETES,0.076544344
HAS_HYPERTENSION,0.28809223
