,0
DASH,0.010425152
DII,0.012438521
PRAL,0.013675044
KHEI90,0.014069895
AS1_PHYACTL,0.014744078
AS1_JOBB,0.01517396
AS1_HVSMAM,0.017564842
AS1_TOTALC,0.018507896
AS1_EDUA,0.018686848
AS1_INCOME,0.020644996
AS1_DRINK,0.022991022
HOMA_IR,0.023611981
AS1_SEX,0.02407371
AI,0.02818525
AS1_TIED,0.030502515
AS1_SLPAMSF,0.033712495
HAS_HYPERLIPIDEMI,0.033956897
AS1_AGE,0.046073634
AS1_PHYACTH,0.04905046
AS1_PHYACTM,0.055794954
AS1_SMOKEA,0.063162476
AS1_HEALTH,0.07076695
HAS_DIABETES,0.07822187
HAS_HYPERTENSION,0.28396454
